   -0.397463561596501751E-03    0.300189919186535882E-03    0.126105131779755039E+11    0.346639381701635057E+04   -0.602488551819439166E+00   -0.565286616425948907E+01   -0.428592845956509816E+01   -0.795687514940249052E+01   -0.576687401452641524E+00   -0.445726473414520630E+01   -0.976723119008678431E+01   -0.781519078931344691E+01   -0.279873384034005657E+01   -0.710847955104605411E+01   -0.276693134469598068E+01   -0.215721021178173977E+01    0.320506464096499849E+04
   -0.338231743136761581E-03    0.304082477333652212E-03    0.125671704816468811E+11    0.318977589245930176E+04    0.161933897933423054E+01   -0.562036977374575297E+01   -0.447650829692399732E+01   -0.809906864346196897E+01   -0.849543802075054977E+01   -0.411708651944292114E+01   -0.963923132961902240E+01   -0.883272452223484450E+01   -0.604131625985639964E+01   -0.793758367370657414E+01   -0.443654880653316486E+01   -0.205160577944383427E+01    0.320709534385515326E+04
   -0.313075004165514295E-03    0.582980981178710849E-03    0.125609527341929760E+11    0.295200510425876791E+04    0.286871362055056522E+01   -0.531297912822694141E+01   -0.465906386824091800E+01   -0.826157105305957096E+01   -0.181052383125574323E+01   -0.352561246145973328E+01   -0.867081360096383058E+01   -0.795078729246017524E+01   -0.240184970459192648E+01   -0.889444177692724125E+01   -0.166901127324069343E+01   -0.240353463019383096E+01    0.320794052979507433E+04
   -0.186213708202797256E-03    0.439456511878351950E-03    0.123958762793951797E+11    0.305345575391518196E+04    0.558566619094371219E+00   -0.478573529139872811E+01   -0.400964280156720321E+01   -0.840064507004484540E+01   -0.146389110524223831E+01   -0.326865659349488347E+01   -0.806483353426417260E+01   -0.961707680875459126E+01   -0.338014556526713683E+01   -0.719133701009647375E+01   -0.865299875882481473E+00   -0.151869595771181132E+01    0.320801072294816231E+04
   -0.454940581943395197E-03    0.326657261631711033E-03    0.126172559210261841E+11    0.320880660948569994E+04    0.109941730882252386E+01   -0.557308295057994485E+01   -0.458612831022485512E+01   -0.707446261167076340E+01   -0.963840958857431040E+01   -0.413589211466446471E+01   -0.895108617047166533E+01   -0.912124434836065845E+01   -0.975425452771130530E+01   -0.724962257759456641E+01   -0.482802875288001765E+01   -0.234727254079038250E+01    0.320808654885953410E+04
   -0.263064328976764044E-03    0.516161137544054061E-03    0.125069186055957928E+11    0.298992398270042850E+04    0.254478783231987826E+01   -0.529488680179899784E+01   -0.402852566415192470E+01   -0.895842410368376640E+01   -0.311773180347670653E+01   -0.358541752316318352E+01   -0.884241646530614389E+01   -0.849089574707758210E+01   -0.673468753528352870E+01   -0.932466225015686412E+01   -0.674618694573346733E+01   -0.212575001678435349E+01    0.320819781737265976E+04
   -0.397511529533686454E-03    0.341420714935079719E-03    0.126279527863373756E+11    0.315420371588360558E+04    0.783627601406248431E+00   -0.555902424266020567E+01   -0.452512962586300915E+01   -0.792787739356622811E+01   -0.328087520528756293E+01   -0.432342119436941630E+01   -0.927893797741314152E+01   -0.998569834095175324E+01   -0.639030423474525300E+01   -0.813593063820412787E+01   -0.694842899135004899E+01   -0.249739722560956334E+01    0.320838313772706488E+04
   -0.340283243270928827E-03    0.371055036330522918E-03    0.125832892575902958E+11    0.296085700126161555E+04    0.902442958099072712E+00   -0.529943543598122524E+01   -0.418632175085957048E+01   -0.978202760954355455E+01   -0.904471717354476645E+01   -0.378079206954338609E+01   -0.888322466244362197E+01   -0.885303015848999131E+01   -0.942946907073288898E+01   -0.845676765515066009E+01   -0.801839148741619034E+01   -0.270632531948048083E+01    0.320841093666845700E+04
   -0.449256158213247932E-03    0.218642184744717583E-03    0.126632208828274117E+11    0.332544252437273281E+04    0.198553859063242477E+01   -0.579582378288453182E+01   -0.427294400297444632E+01   -0.882858839445779964E+01   -0.902102818886898916E+00   -0.399017049845059013E+01   -0.977865085027641179E+01   -0.971830383643291462E+01   -0.855562802180245541E+01   -0.902762491731543371E+01   -0.713976887204942123E+01   -0.255925316698164007E+01    0.320854885808218660E+04
   -0.534725343874016936E-03    0.219538440843305462E-03    0.127450640410453968E+11    0.339598422847615620E+04    0.115126545230824284E+01   -0.565302186855709277E+01   -0.538719736853865072E+01   -0.785456238811392726E+01   -0.765350086447153100E+01   -0.428441663468164169E+01   -0.923243477294961679E+01   -0.867766924474451073E+01   -0.659844035066466716E+00   -0.923349020967098610E+01   -0.650197834664237995E+01   -0.296933578603767767E+01    0.320866195327115884E+04
