star_id,Fe,Fe_err,C,C_err,O,O_err,raj2000,raj2000_err,decj2000,decj2000_err,x_pos,x_pos_err,y_pos,y_pos_err,z_pos,z_pos_err,dist,dist_err,disk,sptype,vmag,vmag_err,bv,bv_err,u_vel,u_vel_err,v_vel,v_vel_err,w_vel,w_vel_err,teff,teff_err,logg,logg_err,mass,mass_err,rad,rad_err,
*   1 Hya ,0.07 ,0.04 ,,,,,126.14589238 ,-1.25e-08/1.25e-08 ,-3.75124250 ,-8.89e-09/8.89e-09 ,-15.907 ,,21.777 ,,-1.768 ,,27.03 ,-0.2067/0.0775 ,thin ,F6V ,5.61 ,,0.478 ,,-54.70 ,,-44.00 ,,-2.50 ,,6458.0 ,,4.11 ,,1.28 ,-0.199/0.199 ,1.50 ,-0.0571/0.0571 ,
*   3 Cyg ,-0.32 ,0.04 ,,,,,291.35732483 ,-3.2e-09/3.2e-09 ,24.91277504 ,-5.4e-09/5.4e-09 ,9.345 ,,-23.897 ,,11.918 ,,28.29 ,-0.0297/0.0371 ,thin ,F8 ,6.19 ,,0.528 ,,70.60 ,,-43.90 ,,-18.40 ,,6211.0 ,,4.21 ,,1.14 ,-0.154/0.154 ,1.34 ,-0.0678/0.0678 ,
*   5 And ,-0.12 ,0.1 ,-0.05 ,0.06 ,0.16 ,0.2 ,346.93909812 ,-7.18e-09/7.18e-09 ,49.29577512 ,-7.62e-09/7.62e-09 ,21.846 ,,-5.068 ,,26.069 ,,34.39 ,-0.0651/0.1018 ,thin ,F4Vs ,5.68 ,,0.449 ,,-29.80 ,,-9.40 ,,10.20 ,,6407.0 ,,4.12 ,,1.34 ,-0.198/0.198 ,1.77 ,-0.0657/0.0657 ,
*   5 LMi ,0.15 ,0.12 ,0.05 ,0.09 ,0.16 ,0.09 ,132.63426174 ,-5.7e-09/5.7e-09 ,33.28505442 ,-3.81e-09/3.81e-09 ,-15.486 ,,16.820 ,,15.010 ,,27.35 ,-0.0182/0.019 ,thin ,F7Vs ,6.21 ,,0.549 ,,-7.90 ,,-11.30 ,,-5.50 ,,6218.0 ,,4.49 ,,1.21 ,-0.179/0.179 ,1.22 ,-0.0627/0.0627 ,
*   6 Cet ,-0.34 ,0.12 ,-0.31 ,0.16 ,-0.23 ,0.12 ,2.81607516 ,-2.63e-08/2.63e-08 ,-15.46797792 ,-1.93e-08/1.93e-08 ,18.185 ,,0.895 ,,-5.038 ,,18.89 ,-0.0361/0.0352 ,thin ,F8VFe-0.8CH-0.5 ,4.89 ,,0.487 ,,18.80 ,,-13.10 ,,-18.10 ,,6155.0 ,,4.09 ,,1.19 ,-0.17/0.17 ,1.50 ,-0.0572/0.0572 ,
*   7 And ,0.00 ,0.04 ,0.18 ,0.09 ,-0.02 ,0.09 ,348.13751463 ,-2.1e-08/2.1e-08 ,49.40620720 ,-2.14e-08/2.14e-08 ,15.891 ,,-3.338 ,,18.949 ,,24.95 ,-1.128/0.589 ,thin ,F1V ,4.52 ,,0.302 ,,-17.10 ,,8.40 ,,4.10 ,,7194.0 ,,4.16 ,,1.60 ,-0.276/0.276 ,1.73 ,-0.0708/0.0708 ,
*   9 Aur ,-0.34 ,0.04 ,,,,,76.66929418 ,-2.9e-08/2.9e-08 ,51.59772194 ,-2.18e-08/2.18e-08 ,3.862 ,,16.300 ,,21.133 ,,26.97 ,-0.187/0.164 ,thin ,F2V ,4.98 ,,0.343 ,,-6.80 ,,-13.70 ,,-15.90 ,,7200.0 ,,4.10 ,,1.55 ,-0.27/0.27 ,1.62 ,-0.0573/0.0573 ,
*   9 Cet ,0.17 ,0.14 ,0.11 ,0.12 ,0.06 ,0.1 ,5.71578523 ,-5.82e-09/5.82e-09 ,-12.20943609 ,-5.2e-09/5.2e-09 ,20.739 ,,2.076 ,,-4.510 ,,21.33 ,-0.0197/0.0271 ,thin ,G2.5V ,6.39 ,,0.659 ,,-36.60 ,,-14.90 ,,-0.30 ,,5774.0 ,,4.58 ,,1.04 ,-0.128/0.128 ,1.03 ,-0.0423/0.0423 ,
*   9 Com ,0.22 ,0.12 ,0.20 ,0.13 ,0.29 ,0.15 ,184.87302434 ,-5.36e-09/5.36e-09 ,28.15691793 ,-7.43e-09/7.43e-09 ,-41.945 ,,-3.576 ,,22.532 ,,47.75 ,-0.0599/0.0599 ,thin ,F8Va ,6.38 ,,0.523 ,,-28.70 ,,-53.40 ,,-15.30 ,,6239.0 ,,4.30 ,,1.20 ,-0.169/0.169 ,1.97 ,-0.0727/0.0727 ,
*   9 UMi ,-0.45 ,0.07 ,-0.33 ,0.09 ,0.03 ,0.07 ,225.11227867 ,-7.34e-08/7.34e-08 ,71.76545827 ,-6.78e-08/6.78e-08 ,-7.265 ,,-7.294 ,,31.248 ,,32.90 ,-4.54/1.36 ,thin ,G0 ,6.64 ,,0.631 ,,-35.30 ,,-74.50 ,,-9.40 ,,5753.0 ,,4.05 ,,1.03 ,-0.126/0.126 ,1.54 ,-0.0614/0.0614 ,
*  10 CVn ,-0.50 ,0.17 ,-0.43 ,0.09 ,-0.23 ,0.18 ,191.24752068 ,-5.46e-09/5.46e-09 ,39.27891615 ,-4.83e-09/4.83e-09 ,-13.257 ,,-2.636 ,,11.055 ,,17.46 ,-0.0412/0.0377 ,thick ,F9V_Fe-0.3 ,5.95 ,,0.557 ,,-41.70 ,,7.00 ,,75.40 ,,5911.0 ,,4.60 ,,1.08 ,-0.143/0.143 ,1.00 ,-0.0564/0.0564 ,
*  11 Aqr ,0.25 ,0.18 ,0.27 ,0.2 ,0.18 ,0.28 ,315.14100347 ,-5.8e-09/5.8e-09 ,-4.73025962 ,-3.81e-09/3.81e-09 ,19.068 ,,-18.974 ,,-2.226 ,,26.99 ,-0.022/0.0219 ,thin ,G1V ,6.19 ,,0.635 ,,-7.10 ,,-24.60 ,,-3.10 ,,6023.0 ,,4.35 ,,1.07 ,-0.125/0.125 ,1.38 ,-0.0568/0.0568 ,
*  11 LMi ,0.32 ,0.08 ,0.27 ,0.1 ,0.19 ,0.1 ,143.91459247 ,-1.92e-08/1.92e-08 ,35.81013251 ,-1.67e-08/1.67e-08 ,-7.347 ,,5.354 ,,6.559 ,,11.21 ,-0.0386/0.0165 ,thin ,G8Va ,5.34 ,,0.770 ,,-36.80 ,,-17.40 ,,-15.90 ,,5498.0 ,,4.51 ,,0.96 ,-0.121/0.121 ,0.98 ,-0.0602/0.0602 ,
*  12 Oph ,0.02 ,0.18 ,0.19 ,0.34 ,0.04 ,0.08 ,249.08937371 ,-9.91e-09/9.91e-09 ,-2.32458695 ,-4.58e-09/4.58e-09 ,-3.530 ,,-9.240 ,,-0.402 ,,9.90 ,-0.0119/0.0874 ,thin ,K1V ,5.77 ,,0.827 ,,0.80 ,,-0.40 ,,-28.50 ,,5250.0 ,,4.61 ,,0.91 ,-0.114/0.114 ,0.81 ,-0.0374/0.0374 ,
*  12 Psc ,0.08 ,0.05 ,0.10 ,0.07 ,0.12 ,0.16 ,352.37632318 ,-5.68e-09/5.68e-09 ,-1.03589592 ,-4.41e-09/4.41e-09 ,35.954 ,,-4.812 ,,-0.656 ,,36.28 ,-0.0382/0.0444 ,thin ,G1V ,6.89 ,,0.620 ,,3.70 ,,-11.40 ,,11.00 ,,5954.0 ,,4.27 ,,1.07 ,-0.142/0.142 ,1.35 ,-0.0752/0.0752 ,
*  13 LMi ,-0.06 ,0.04 ,,,,,145.67807825 ,-5.68e-09/5.68e-09 ,35.09337204 ,-3.78e-09/3.78e-09 ,-35.617 ,,24.316 ,,30.302 ,,52.71 ,-0.283/0.133 ,thin ,F3V ,6.14 ,,0.386 ,,2.90 ,,-12.80 ,,-9.30 ,,7011.0 ,,4.00 ,,1.52 ,-0.247/0.247 ,1.96 ,-0.0708/0.0708 ,
*  13 Ori ,-0.16 ,0.21 ,0.08 ,0.23 ,0.07 ,0.09 ,76.90963884 ,-1.23e-08/1.23e-08 ,9.47178045 ,-8e-09/8e-09 ,6.148 ,,26.438 ,,4.529 ,,27.52 ,-0.1086/0.0585 ,thin ,G3 ,6.15 ,,0.625 ,,37.60 ,,-34.90 ,,-19.20 ,,5859.0 ,,4.07 ,,1.04 ,-0.133/0.133 ,1.49 ,-0.059/0.059 ,
*  13 Tri ,-0.16 ,0.09 ,-0.10 ,0.08 ,-0.06 ,0.06 ,37.20206036 ,-2.74e-08/2.74e-08 ,29.93175793 ,-1.93e-08/1.93e-08 ,21.753 ,,16.513 ,,15.724 ,,31.51 ,-0.101/0.102 ,thin ,G0V ,5.90 ,,0.591 ,,-25.10 ,,32.40 ,,-14.50 ,,5891.0 ,,3.81 ,,1.07 ,-0.129/0.129 ,1.84 ,-0.0774/0.0774 ,
*  14 Aur C ,-0.16 ,0.04 ,0.07 ,0.09 ,0.02 ,0.09 ,78.84833369 ,-8.27e-09/8.27e-09 ,32.68478676 ,-4.45e-09/4.45e-09 ,13.222 ,,67.071 ,,43.862 ,,81.22 ,-0.689/0.432 ,N/A ,F2V+DA1.3 ,7.94 ,,0.410 ,,,,,,,,6573.9 ,-5.38/67.16 ,4.29 ,-0.0911/0.0911 ,1.40 ,-0.238/0.238 ,1.40 ,-0.0616/0.0616 ,
*  14 Her ,0.40 ,0.2 ,0.43 ,0.13 ,0.28 ,0.12 ,242.60131532 ,-6.17e-09/6.17e-09 ,43.81764095 ,-7.43e-09/7.43e-09 ,-5.940 ,,-11.460 ,,12.385 ,,17.89 ,-0.0093/0.0101 ,thin ,K0V ,6.61 ,,0.877 ,,22.90 ,,-12.30 ,,-15.90 ,,5250.0 ,,4.43 ,,0.90 ,,1.00 ,-0.065/0.065 ,
*  15 Del ,-0.32 ,0.14 ,-0.20 ,0.04 ,-0.01 ,0.15 ,312.40736377 ,-6.79e-09/6.79e-09 ,12.54512747 ,-3.45e-09/3.45e-09 ,19.914 ,,-21.803 ,,6.571 ,,30.25 ,-0.0805/0.0437 ,thin ,F5V ,5.99 ,,0.420 ,,-11.50 ,,12.10 ,,0.10 ,,6339.0 ,,4.20 ,,1.28 ,-0.198/0.198 ,1.40 ,-0.0549/0.0549 ,
*  15 LMi ,0.13 ,0.14 ,0.09 ,0.08 ,0.17 ,0.14 ,147.14738062 ,-1.37e-08/1.37e-08 ,46.02100739 ,-9.66e-09/9.66e-09 ,-10.922 ,,7.053 ,,13.473 ,,18.72 ,-0.467/0.0777 ,thin ,G0.5Va ,5.10 ,,0.619 ,,11.60 ,,-5.50 ,,17.30 ,,5899.0 ,,4.05 ,,1.06 ,-0.127/0.127 ,1.62 ,-0.0638/0.0638 ,
*  15 Peg ,-0.52 ,0.16 ,-0.31 ,0.03 ,-0.18 ,0.12 ,328.12465334 ,-1.01e-08/1.01e-08 ,28.79354185 ,-1.2e-08/1.2e-08 ,20.064 ,,-12.477 ,,12.986 ,,26.96 ,-0.1336/0.0608 ,thin ,F2V ,5.53 ,,0.426 ,,13.40 ,,15.80 ,,-7.20 ,,6054.0 ,,4.11 ,,1.26 ,-0.193/0.193 ,1.59 ,-0.0835/0.0835 ,
*  15 Sge ,0.05 ,0.12 ,0.06 ,0.06 ,0.04 ,0.1 ,301.02591987 ,-6.38e-09/6.38e-09 ,17.07018793 ,-5.95e-09/5.95e-09 ,8.745 ,,-14.539 ,,5.210 ,,17.75 ,-0.0407/0.0162 ,thin ,G0V ,5.80 ,,0.600 ,,42.10 ,,-20.70 ,,9.60 ,,5944.0 ,,4.40 ,,1.08 ,-0.137/0.137 ,1.07 ,-0.0576/0.0576 ,
*  16 Cyg A ,0.08 ,0.22 ,0.05 ,0.13 ,0.09 ,0.19 ,295.45397294 ,-5.36e-09/5.36e-09 ,50.52506100 ,-5.79e-09/5.79e-09 ,5.771 ,,-12.124 ,,16.303 ,,21.12 ,-0.0087/0.0088 ,thin ,G1.5Vb ,5.95 ,,0.643 ,,17.40 ,,-30.50 ,,-0.50 ,,5689.0 ,,4.33 ,,1.04 ,-0.122/0.122 ,1.25 ,-0.0576/0.0576 ,
*  16 Cyg B ,0.05 ,0.18 ,0.03 ,0.17 ,0.02 ,0.16 ,295.46655284 ,-3.86e-09/3.86e-09 ,50.51752475 ,-6.17e-09/6.17e-09 ,5.770 ,,-12.115 ,,16.289 ,,21.10 ,-0.0202/0.0117 ,thin ,G3V ,6.20 ,,0.661 ,,17.20 ,,-30.50 ,,-2.10 ,,5765.0 ,,4.35 ,,0.98 ,-0.0446/0.0446 ,1.16 ,-0.0272/0.0272 ,
*  17 Crt A ,0.00 ,0.03 ,-0.14 ,0.09 ,-0.10 ,0.09 ,173.06835202 ,-8.69e-09/8.69e-09 ,-29.26102213 ,-8.33e-09/8.33e-09 ,-24.469 ,,2.975 ,,-13.810 ,,28.25 ,-0.157/0.234 ,N/A ,F8V ,5.58 ,,,,,,,,,,6240.0 ,,4.17 ,,1.24 ,-0.191/0.191 ,1.56 ,-0.0709/0.0709 ,
*  17 Crt B ,0.02 ,0.03 ,-0.13 ,0.09 ,-0.08 ,0.09 ,173.06683314 ,-8.23e-09/8.23e-09 ,-29.26330554 ,-8.33e-09/8.33e-09 ,-24.423 ,,2.970 ,,-13.786 ,,28.20 ,-0.068/0.1065 ,N/A ,F8V ,5.67 ,,,,,,,,,,6269.0 ,,4.20 ,,1.24 ,-0.19/0.19 ,1.49 ,-0.0672/0.0672 ,
*  17 Cyg ,-0.01 ,0.16 ,-0.16 ,0.07 ,0.07 ,0.07 ,296.60666687 ,-1.31e-08/1.31e-08 ,33.72759820 ,-1.56e-08/1.56e-08 ,7.812 ,,-15.596 ,,11.646 ,,20.97 ,-0.0556/0.0499 ,thin ,F5.5IV-V ,5.00 ,,0.476 ,,37.60 ,,-8.30 ,,-24.20 ,,6379.0 ,,4.00 ,,1.22 ,-0.175/0.175 ,1.60 ,-0.0612/0.0612 ,
*  17 Vir ,0.13 ,0.08 ,0.14 ,0.06 ,0.08 ,0.08 ,185.63349152 ,-1.02e-08/1.02e-08 ,5.30544663 ,-8.38e-09/8.38e-09 ,-29.653 ,,-2.925 ,,2.767 ,,29.93 ,-0.0898/0.064 ,thin ,F8V ,6.46 ,,0.567 ,,-16.40 ,,-19.30 ,,-1.00 ,,6040.0 ,,4.32 ,,1.13 ,-0.15/0.15 ,1.26 ,-0.0641/0.0641 ,
*  18 Cam ,-0.02 ,0.04 ,0.12 ,0.09 ,0.17 ,0.09 ,83.14083472 ,-4.61e-09/4.61e-09 ,57.22107073 ,-3.62e-09/3.62e-09 ,2.789 ,,23.186 ,,36.266 ,,43.13 ,-0.0499/0.046 ,thin ,F8V ,6.44 ,,0.587 ,,-51.70 ,,-31.30 ,,3.40 ,,5915.0 ,,3.98 ,,1.08 ,-0.135/0.135 ,1.96 ,-0.0768/0.0768 ,
*  18 Cet ,-0.22 ,0.28 ,-0.16 ,0.1 ,-0.02 ,0.22 ,11.36953098 ,-6.97e-09/6.97e-09 ,-12.88080877 ,-3.69e-09/3.69e-09 ,31.122 ,,6.258 ,,-7.259 ,,32.56 ,-0.19/0.292 ,thin ,G0V ,6.15 ,,0.603 ,,20.90 ,,-24.40 ,,2.70 ,,5839.0 ,,4.05 ,,1.04 ,-0.131/0.131 ,1.76 ,-0.0939/0.0939 ,
*  18 Pup ,-0.04 ,0.08 ,0.02 ,0.09 ,0.02 ,0.04 ,122.66594000 ,-8.22e-09/8.22e-09 ,-13.79920609 ,-6.42e-09/6.42e-09 ,-11.808 ,,18.417 ,,-5.373 ,,22.53 ,-0.0298/0.0287 ,thin ,F6.5V ,5.54 ,,0.488 ,,-36.60 ,,-18.50 ,,-12.90 ,,6262.0 ,,4.22 ,,1.22 ,-0.169/0.169 ,1.37 ,-0.0566/0.0566 ,
*  18 Sco ,0.03 ,0.13 ,-0.02 ,0.15 ,0.02 ,0.22 ,243.90529281 ,-1.83e-08/1.83e-08 ,-8.36943948 ,-1.52e-08/1.52e-08 ,-6.152 ,,-12.560 ,,-2.058 ,,14.14 ,-0.0153/0.0153 ,thin ,G2Va ,5.50 ,,0.652 ,,27.10 ,,-14.40 ,,-22.10 ,,5819.0 ,,4.40 ,,1.04 ,-0.132/0.132 ,1.04 ,-0.0409/0.0409 ,
*  20 Crt ,-0.39 ,0.12 ,-0.24 ,0.35 ,-0.12 ,0.15 ,173.62286018 ,-4.86e-09/4.86e-09 ,-32.83133966 ,-4.51e-09/4.51e-09 ,-7.963 ,,0.890 ,,-5.170 ,,9.54 ,-0.0157/0.0174 ,thin ,K0V ,5.98 ,,0.811 ,,-47.60 ,,19.80 ,,12.30 ,,5131.0 ,,4.59 ,,0.87 ,-0.109/0.109 ,0.77 ,-0.0525/0.0525 ,
*  20 LMi ,0.22 ,0.16 ,0.16 ,0.1 ,0.11 ,0.06 ,150.25273698 ,-1.94e-08/1.94e-08 ,31.92367028 ,-1.8e-08/1.8e-08 ,-10.951 ,,6.258 ,,7.858 ,,14.86 ,-0.0807/0.0527 ,thin ,G3VaHdel1 ,5.37 ,,0.676 ,,-55.90 ,,-44.10 ,,20.60 ,,5740.0 ,,4.02 ,,0.97 ,-0.01/0.01 ,1.24 ,-0.019/0.019 ,
*  22 Lyn ,-0.29 ,0.11 ,-0.15 ,0.09 ,-0.03 ,0.1 ,112.48315487 ,-2.16e-08/2.16e-08 ,49.67245941 ,-2.2e-08/2.2e-08 ,-5.054 ,,12.213 ,,15.570 ,,20.42 ,-0.0627/0.0726 ,thin ,F6V ,5.36 ,,0.470 ,,25.80 ,,-15.50 ,,-4.40 ,,6309.0 ,,4.31 ,,1.26 ,-0.183/0.183 ,1.29 ,-0.0507/0.0507 ,
*  23 Lib ,0.26 ,0.18 ,0.32 ,0.21 ,0.27 ,0.22 ,228.36944551 ,-6.21e-09/6.21e-09 ,-25.30934816 ,-7.29e-09/7.29e-09 ,-15.746 ,,-17.717 ,,-11.209 ,,26.22 ,-0.0909/0.0832 ,thin ,G6IV-V ,6.46 ,,0.691 ,,-21.20 ,,-41.00 ,,21.30 ,,5687.0 ,,4.37 ,,1.09 ,-0.0475/0.0475 ,1.29 ,-0.0309/0.0309 ,
*  24 LMi ,0.04 ,0.12 ,0.12 ,0.08 ,0.13 ,0.08 ,154.11701019 ,-4.83e-09/4.83e-09 ,28.68248292 ,-5.17e-09/5.17e-09 ,-26.337 ,,12.779 ,,16.015 ,,33.37 ,-0.0397/0.0408 ,thin ,G2V ,6.46 ,,0.635 ,,-19.10 ,,-21.50 ,,17.50 ,,5779.0 ,,4.15 ,,1.25 ,-0.05/0.05 ,1.54 ,-0.01/0.01 ,
*  30 Ari B ,0.12 ,0.1 ,,,,,39.24060591 ,-7.78e-09/7.78e-09 ,24.64805567 ,-7.29e-09/7.29e-09 ,31.226 ,,25.504 ,,18.500 ,,44.36 ,-0.0677/0.0621 ,thin ,F6V ,7.09 ,,0.410 ,,-26.80 ,,-14.50 ,,2.00 ,,6185.0 ,,4.50 ,,1.93 ,-0.27/0.27 ,1.41 ,-0.05/0.05 ,
*  35 LMi ,-0.15 ,0.06 ,-0.22 ,0.04 ,-0.18 ,0.09 ,159.08925398 ,-5.07e-09/5.07e-09 ,36.32692780 ,-5.22e-09/5.22e-09 ,-34.777 ,,13.287 ,,27.374 ,,46.21 ,-0.1372/0.0711 ,thin ,F3V ,6.29 ,,0.436 ,,21.80 ,,-3.90 ,,-18.30 ,,6488.0 ,,4.05 ,,1.40 ,-0.219/0.219 ,1.73 ,-0.0672/0.0672 ,
*  35 Leo ,-0.02 ,0.07 ,0.25 ,0.09 ,0.21 ,0.12 ,154.13453846 ,-6.02e-08/6.02e-08 ,23.50311299 ,-7.91e-08/7.91e-08 ,-26.265 ,,12.734 ,,12.694 ,,31.83 ,-0.149/0.646 ,thin ,G1.5IV-V ,5.95 ,,0.655 ,,-8.10 ,,9.40 ,,-44.70 ,,5736.0 ,,4.00 ,,1.04 ,-0.126/0.126 ,1.82 ,-0.0897/0.0897 ,
*  36 Dra ,-0.26 ,0.08 ,-0.32 ,0.2 ,-0.12 ,0.08 ,273.47430336 ,-2.67e-08/2.67e-08 ,64.39728493 ,-2.13e-08/2.13e-08 ,0.604 ,,-9.957 ,,20.817 ,,23.08 ,-0.1885/0.0851 ,thin ,F5V ,4.99 ,,0.440 ,,-5.80 ,,-14.30 ,,-50.30 ,,6559.0 ,,4.00 ,,1.32 ,-0.212/0.212 ,1.64 ,-0.0735/0.0735 ,
*  36 Oph ,-0.25 ,0.02 ,-0.40 ,0.09 ,-0.12 ,0.02 ,282.56149610 ,,-26.60282142 ,,1.153 ,,-5.175 ,,-2.655 ,,5.93 ,,thin ,K2V+K1V ,4.33 ,,0.855 ,,-0.20 ,,-33.80 ,,-7.70 ,,5087.0 ,,4.58 ,,0.87 ,-0.105/0.105 ,0.72 ,-0.0437/0.0437 ,
*  36 Oph B ,-0.25 ,0.1 ,-0.12 ,0.09 ,-0.05 ,0.09 ,258.83743261 ,-2.42e-08/2.42e-08 ,-26.60282596 ,-1.4e-08/1.4e-08 ,-1.030 ,,-5.219 ,,-2.664 ,,5.95 ,-0.0051/0.0094 ,N/A ,K1V ,5.03 ,,,,,,,,,,5091.0 ,,4.60 ,,0.87 ,-0.105/0.105 ,0.72 ,-0.0437/0.0437 ,
*  36 UMa ,-0.11 ,0.08 ,-0.15 ,0.07 ,-0.02 ,0.06 ,157.65658026 ,-1.34e-08/1.34e-08 ,55.98053880 ,-1.73e-08/1.73e-08 ,-6.697 ,,2.753 ,,10.727 ,,12.94 ,-0.0132/0.0151 ,thin ,F8V ,4.82 ,,0.541 ,,-13.70 ,,-1.90 ,,2.00 ,,6203.0 ,,4.65 ,,1.18 ,-0.159/0.159 ,1.11 ,-0.0464/0.0464 ,
*  37 Cet ,-0.31 ,0.08 ,-0.24 ,0.01 ,-0.12 ,0.07 ,18.60016957 ,-2.53e-08/2.53e-08 ,-7.92282582 ,-1.78e-08/1.78e-08 ,22.601 ,,7.606 ,,-3.319 ,,24.08 ,-0.0628/0.0717 ,thin ,F5V ,5.13 ,,0.448 ,,-33.00 ,,21.00 ,,-8.90 ,,6363.0 ,,4.05 ,,1.26 ,-0.199/0.199 ,1.66 ,-0.08/0.08 ,
*  37 Gem ,-0.11 ,0.06 ,-0.15 ,0.06 ,0.00 ,0.04 ,103.82777650 ,-1.43e-08/1.43e-08 ,25.37569543 ,-1.6e-08/1.6e-08 ,-3.719 ,,15.109 ,,7.381 ,,17.22 ,-0.424/0.156 ,thin ,G0V ,5.75 ,,0.573 ,,13.50 ,,5.70 ,,-4.90 ,,6037.0 ,,4.57 ,,1.08 ,-0.126/0.126 ,1.08 ,-0.0441/0.0441 ,
*  38 Vir ,0.20 ,0.04 ,0.22 ,0.09 ,,,193.29648657 ,-8.31e-09/8.31e-09 ,-3.55309757 ,-6.29e-09/6.29e-09 ,-32.428 ,,-7.664 ,,-2.069 ,,33.39 ,-0.0429/0.0386 ,thin ,F6V ,6.11 ,,0.493 ,,-35.70 ,,-20.00 ,,-5.60 ,,6557.0 ,,4.42 ,,1.40 ,-0.07/0.07 ,1.41 ,-0.0576/0.0576 ,
*  39 Leo ,-0.37 ,0.11 ,-0.29 ,0.06 ,-0.22 ,0.04 ,154.31057645 ,-1.65e-08/1.65e-08 ,23.10621783 ,-1.67e-08/1.67e-08 ,-18.498 ,,8.898 ,,8.758 ,,22.32 ,-0.075/0.0755 ,thin ,F6V ,5.82 ,,0.500 ,,-51.20 ,,-29.20 ,,4.30 ,,6025.0 ,,4.25 ,,1.14 ,-0.146/0.146 ,1.26 ,-0.0523/0.0523 ,
*  39 Leo B ,-0.38 ,0.04 ,,,-0.12 ,0.09 ,154.30852699 ,-5.65e-09/5.65e-09 ,23.10727410 ,-5.07e-09/5.07e-09 ,-18.364 ,,8.834 ,,8.695 ,,22.16 ,-0.0174/0.0229 ,N/A ,M1 ,,,,,,,,,,,3638.2 ,-0.571/0.345 ,4.77 ,-0.00711/0.00711 ,0.46 ,-0.0205/0.0205 ,0.47 ,-0.0141/0.0141 ,
*  39 Ser ,-0.37 ,0.11 ,-0.17 ,0.14 ,-0.12 ,0.02 ,238.30040491 ,-3.98e-08/3.98e-08 ,13.19662623 ,-3.8e-08/3.8e-08 ,-9.084 ,,-14.708 ,,4.054 ,,17.76 ,-0.0685/0.0786 ,thin ,G1VFe-1 ,6.12 ,,0.598 ,,50.40 ,,-29.00 ,,22.30 ,,5793.0 ,,4.52 ,,1.05 ,-0.128/0.128 ,0.96 ,-0.0404/0.0404 ,
*  39 Tau ,0.05 ,0.04 ,-0.02 ,0.01 ,0.06 ,0.1 ,61.33440854 ,-9.27e-09/9.27e-09 ,22.00890482 ,-5.39e-09/5.39e-09 ,7.470 ,,13.664 ,,6.295 ,,16.80 ,-0.0189/0.0124 ,thin ,G5V ,5.90 ,,0.620 ,,-25.50 ,,-13.50 ,,-6.50 ,,5905.0 ,,4.57 ,,1.06 ,-0.13/0.13 ,1.00 ,-0.0419/0.0419 ,
*  40 Cet ,0.07 ,0.02 ,0.11 ,0.09 ,0.11 ,0.02 ,19.24585834 ,-5.76e-09/5.76e-09 ,-2.27915867 ,-4.34e-09/4.34e-09 ,27.058 ,,9.447 ,,-1.141 ,,28.68 ,-0.024/0.0236 ,thin ,G2V ,6.52 ,,0.563 ,,-21.60 ,,-34.80 ,,-10.10 ,,6093.0 ,,4.25 ,,1.15 ,-0.155/0.155 ,1.17 ,-0.0603/0.0603 ,
*  40 Leo ,0.12 ,0.04 ,,,,,154.93403005 ,-3.64e-08/3.64e-08 ,19.47091277 ,-4.06e-08/4.06e-08 ,-18.209 ,,8.516 ,,7.107 ,,21.32 ,-0.0736/0.0747 ,thin ,F6IV-V ,4.78 ,,0.452 ,,-14.00 ,,-26.60 ,,-12.20 ,,6385.0 ,,4.13 ,,1.31 ,-0.207/0.207 ,1.64 ,-0.0667/0.0667 ,
*  41 Ara ,-0.34 ,0.29 ,0.00 ,0.14 ,-0.08 ,0.08 ,259.76598980 ,-1.38e-08/1.38e-08 ,-46.63623345 ,-1.21e-08/1.21e-08 ,-1.072 ,,-5.936 ,,-6.387 ,,8.79 ,-0.0138/0.0068 ,thin ,G9V ,5.48 ,,0.764 ,,30.60 ,,21.70 ,,-34.90 ,,5256.0 ,,4.50 ,,0.93 ,-0.118/0.118 ,0.77 ,-0.0416/0.0416 ,
*  45 Tau ,0.03 ,0.01 ,,,0.06 ,0.09 ,62.83450933 ,-1.19e-08/1.19e-08 ,5.52305222 ,-9.42e-09/9.42e-09 ,17.052 ,,33.228 ,,3.611 ,,37.52 ,-0.0735/0.0734 ,thin ,F4V ,5.70 ,,0.360 ,,-41.80 ,,-19.70 ,,-2.00 ,,7000.0 ,,4.08 ,,1.50 ,-0.265/0.265 ,1.68 ,-0.0621/0.0621 ,
*  47 Ari ,0.08 ,0.07 ,-0.11 ,0.09 ,-0.27 ,0.09 ,44.52175546 ,-2.21e-08/2.21e-08 ,20.66873395 ,-1.6e-08/1.6e-08 ,21.763 ,,21.403 ,,11.515 ,,32.62 ,-0.0969/0.0975 ,thin ,F0V(e) ,5.80 ,,0.415 ,,-41.20 ,,-19.90 ,,-0.80 ,,6680.0 ,,4.22 ,,1.41 ,-0.238/0.238 ,1.51 ,-0.0616/0.0616 ,
*  47 Cet ,0.21 ,0.04 ,,,,,21.71485320 ,-1.24e-08/1.24e-08 ,-13.05651110 ,-6.6e-09/6.6e-09 ,31.750 ,,12.644 ,,-7.925 ,,35.08 ,-0.461/0.308 ,thin ,F0.5V ,5.50 ,,0.321 ,,-5.50 ,,1.10 ,,-9.20 ,,7159.0 ,,4.05 ,,1.60 ,-0.27/0.27 ,1.62 ,-0.0647/0.0647 ,
