star_id,Fe,Fe_err,C,C_err,O,O_err,raj2000,raj2000_err,decj2000,decj2000_err,x_pos,x_pos_err,y_pos,y_pos_err,z_pos,z_pos_err,dist,dist_err,disk,sptype,vmag,vmag_err,bv,bv_err,u_vel,u_vel_err,v_vel,v_vel_err,w_vel,w_vel_err,teff,teff_err,logg,logg_err,mass,mass_err,rad,rad_err,
2MASS J03444317+2552319 ,-0.02 ,0.04 ,,,,,56.17989357 ,-6.71e-09/6.71e-09 ,25.87552642 ,-3.75e-09/3.75e-09 ,65.250 ,,97.395 ,,56.863 ,,130.29 ,-0.42/0.373 ,N/A ,,,,,,,,,,,,5253.9 ,-7.05/8.42 ,4.54 ,-0.0927/0.0927 ,0.86 ,-0.119/0.119 ,0.82 ,-0.051/0.051 ,
2MASS J03444394+2529574 ,-0.05 ,0.04 ,-0.09 ,0.09 ,,,56.18311110 ,-3.93e-09/3.93e-09 ,25.49928522 ,-2.81e-09/2.81e-09 ,69.108 ,,103.166 ,,59.226 ,,137.57 ,-5.316/0.902 ,N/A ,,,,,,,,,,,,5021.1 ,-35.1/27.5 ,4.62 ,-0.105/0.105 ,0.83 ,-0.103/0.103 ,0.74 ,-0.0614/0.0614 ,
2MASS J03444398+2413523 ,-0.02 ,0.04 ,,,,,56.18326417 ,-6.07e-09/6.07e-09 ,24.23120974 ,-4.59e-09/4.59e-09 ,67.094 ,,100.161 ,,54.259 ,,132.20 ,-0.751/0.611 ,N/A ,,,,,,,,,,,,5464.4 ,-8.31/8.3 ,4.49 ,-0.0813/0.0813 ,0.95 ,-0.122/0.122 ,0.92 ,-0.0503/0.0503 ,
2MASS J03445639+2425574 ,0.01 ,0.04 ,-0.06 ,0.09 ,,,56.23498190 ,-5.49e-09/5.49e-09 ,24.43260979 ,-4.5e-09/4.5e-09 ,67.962 ,,101.655 ,,55.553 ,,134.31 ,-0.455/0.416 ,N/A ,,,,,,,,,,,,5796.3 ,-22.4/19.8 ,4.41 ,-0.076/0.076 ,1.04 ,-0.128/0.128 ,1.05 ,-0.0523/0.0523 ,
2MASS J03450326+2350219 ,-0.01 ,0.04 ,,,,,56.26365303 ,-4.33e-09/4.33e-09 ,23.83941275 ,-3.21e-09/3.21e-09 ,68.002 ,,101.825 ,,54.105 ,,133.87 ,-0.318/0.342 ,N/A ,,,,,,,,,,,,4979.4 ,-7.78/8.49 ,4.53 ,-0.0894/0.0894 ,0.87 ,-0.107/0.107 ,0.84 ,-0.0553/0.0553 ,
2MASS J03450400+2515282 ,0.00 ,0.04 ,,,,,56.26672149 ,-4.54e-09/4.54e-09 ,25.25784868 ,-3.43e-09/3.43e-09 ,67.042 ,,100.399 ,,56.958 ,,133.49 ,-0.404/0.487 ,N/A ,,,,,,,,,,,,5830.2 ,-36.4/25.8 ,4.36 ,-0.082/0.082 ,0.99 ,-0.131/0.131 ,1.09 ,-0.0611/0.0611 ,
2MASS J03452219+2328182 ,0.00 ,0.04 ,,,,,56.34244423 ,-3.65e-09/3.65e-09 ,23.47170879 ,-2.59e-09/2.59e-09 ,69.204 ,,103.933 ,,54.220 ,,136.13 ,-0.26/0.281 ,N/A ,,,,,,,,,,,,5053.2 ,-9.02/13.94 ,4.71 ,-0.116/0.116 ,0.80 ,-0.0945/0.0945 ,0.65 ,-0.072/0.072 ,
2MASS J03455376+2428088 ,-0.27 ,0.04 ,,,,,56.47404109 ,-8.9e-09/8.9e-09 ,24.46912269 ,-5.81e-09/5.81e-09 ,47.496 ,,71.689 ,,39.134 ,,94.48 ,-0.302/0.279 ,N/A ,M2.4 ,,,,,,,,,,,3519.5 ,-3.76/3.51 ,4.75 ,-0.0077/0.0077 ,0.48 ,-0.0204/0.0204 ,0.48 ,-0.0145/0.0145 ,
2MASS J03460223+2536407 ,-0.51 ,0.04 ,,,,,56.50934803 ,-9.33e-09/9.33e-09 ,25.61130214 ,-5.99e-09/5.99e-09 ,44.530 ,,67.302 ,,38.685 ,,89.49 ,-0.251/0.271 ,N/A ,M3.2 ,,,,,,,,,,,3471.1 ,-1.52/1.56 ,4.86 ,-0.00162/0.00162 ,0.36 ,-0.0205/0.0205 ,0.37 ,-0.0113/0.0113 ,
2MASS J03461174+2437203 ,-0.10 ,0.04 ,0.03 ,0.09 ,,,56.54897560 ,-5.38e-09/5.38e-09 ,24.62231774 ,-3.62e-09/3.62e-09 ,66.157 ,,100.138 ,,55.005 ,,132.02 ,-0.428/0.882 ,N/A ,,,,,,,,,,,,5092.5 ,-21.4/23.6 ,4.54 ,-0.0834/0.0834 ,0.88 ,-0.107/0.107 ,0.84 ,-0.0507/0.0507 ,
2MASS J03465326+2252513 ,0.00 ,0.04 ,-0.09 ,0.09 ,0.00 ,0.09 ,56.72192628 ,-4.99e-09/4.99e-09 ,22.88093328 ,-3.61e-09/3.61e-09 ,73.820 ,,112.474 ,,56.777 ,,146.03 ,-0.383/0.438 ,N/A ,,11.74 ,,,,,,,,,,5235.0 ,,4.46 ,,0.89 ,-0.114/0.114 ,0.86 ,-0.0614/0.0614 ,
2MASS J03470678+2342546 ,-0.01 ,0.04 ,,,,,56.77824941 ,-3.96e-09/3.96e-09 ,23.71514978 ,-3e-09/3e-09 ,68.000 ,,103.829 ,,54.522 ,,135.56 ,-0.338/0.294 ,N/A ,,,,,,,,,,,,4868.2 ,-14.04/9.48 ,4.62 ,-0.1/0.1 ,0.82 ,-0.0987/0.0987 ,0.73 ,-0.0584/0.0584 ,
2MASS J03471480+2522186 ,-0.10 ,0.04 ,0.04 ,0.09 ,,,56.81168086 ,-4.92e-09/4.92e-09 ,25.37183021 ,-3.39e-09/3.39e-09 ,65.635 ,,100.345 ,,56.862 ,,132.70 ,-0.377/0.358 ,N/A ,,,,,,,,,,,,5351.5 ,-20.4/24.9 ,4.38 ,-0.0989/0.0989 ,0.82 ,-0.0988/0.0988 ,0.97 ,-0.0767/0.0767 ,
2MASS J03472726+3101323 ,-0.12 ,0.04 ,,,,,56.86358521 ,-3.99e-09/3.99e-09 ,31.02561315 ,-2.49e-09/2.49e-09 ,45.574 ,,69.813 ,,50.145 ,,97.29 ,-0.714/0.724 ,N/A ,,,,,,,,,,,,4277.5 ,-95.0/162.8 ,4.70 ,-0.101/0.101 ,0.67 ,-0.0802/0.0802 ,0.60 ,-0.051/0.051 ,
2MASS J03474811+2313053 ,0.00 ,0.04 ,,,,,56.95048945 ,-5.17e-09/5.17e-09 ,23.21808754 ,-3.24e-09/3.24e-09 ,67.046 ,,103.047 ,,52.738 ,,133.77 ,-0.383/0.365 ,N/A ,,,,,,,,,,,,5467.4 ,-7.61/9.58 ,4.52 ,-0.0793/0.0793 ,0.96 ,-0.118/0.118 ,0.89 ,-0.0508/0.0508 ,
2MASS J03483451+2326053 ,0.01 ,0.04 ,,,,,57.14379315 ,-3.94e-09/3.94e-09 ,23.43479133 ,-3.05e-09/3.05e-09 ,67.057 ,,103.828 ,,53.576 ,,134.71 ,-0.282/0.272 ,N/A ,,,,,,,,,,,,5887.9 ,-19.2/15.0 ,4.37 ,-0.0783/0.0783 ,1.03 ,-0.128/0.128 ,1.09 ,-0.0616/0.0616 ,
2MASS J03513903+2245010 ,-0.04 ,0.04 ,0.08 ,0.09 ,,,57.91264826 ,-4.39e-09/4.39e-09 ,22.75027732 ,-2.76e-09/2.76e-09 ,67.805 ,,108.143 ,,53.525 ,,138.41 ,-1.57/2.51 ,N/A ,,,,,,,,,,,,4981.6 ,-101.9/30.0 ,4.67 ,-0.0872/0.0872 ,0.86 ,-0.1/0.1 ,0.71 ,-0.0484/0.0484 ,
